TSN,genus
140240,Scaeva
140247,Sphaerophoria
140276,Syrphus
140303,Xanthogramma
140306,Ischiodon
140308,Megograpta
140312,Heringia
140372,Pipiza
140394,Trichopsomyia
140417,Chamaesyrphus
140418,Cheilosia
140586,Ferdinandea
140595,Hiatomyia
140633,Pelecocera
140640,Rhingia
140643,Copestylum
140723,Ornidia
140726,Volucella
140737,Callicera
140746,Pyritis
140750,Sericomyia
140779,Helophilus
140810,Lejops
140854,Mallota
140877,Parhelophilus
140897,Eristalinus
140904,Eristalis
140985,Meromacrus
140995,Palpada
141030,Brachyopa
141049,Chrysogaster
141058,Chrysosyrphus
141076,Lepidomyia
141079,Myolepta
141096,Neoascia
141115,Orthonevra
141151,Sphegina
141182,Ceriana
141232,Eumerus
141241,Merodon
141247,Nausigaster
141256,Psilota
141263,Criorhina
141287,Merapioidus
141289,Sphecomyia
141302,Blera
141340,Cynorhinella
141346,Lejota
141353,Pocota
141355,Somula
141359,Temnostomina
141360,Palumbia
141363,Pterallastes
141365,Temnostoma
141386,Milesiina
141387,Milesia
141397,Spilomyia
141416,Tropidina
141417,Syritta
141425,Tropidia
141441,Brachypalpus
141454,Chalcosyrphus
141526,Hadromyia
141541,Teuchocnemis
141546,Xylota
144657,Atrichomelina
144661,Colobaea
144663,Oidematops
144665,Pherbellia
144737,Pteromicra
144765,Sciomyza
144771,Antichaeta
144789,Dictya
144820,Dictyacium
144824,Elgiva
144829,Euthycera
144836,Hedria
144838,Hoplodictya
144848,Limnia
144878,Pherbecta
144880,Poecilographa
144883,Renocera
144894,Sepedomerus
144898,Sepedon
144918,Tetanocera
144964,Trypetoptera
146896,Allotrichoma
146912,Atissa
146921,Diphuia
146923,Glenanthe
146927,Hecamede
146931,Lipochaeta
146935,Pelignellus
146937,Schema
146940,Ptilomyia
146953,Nannodastia
146956,Diclasiopa
146961,Discocerina
146974,Ditrichophora
146993,Hecamedoides
146996,Hydrochasma
147006,Polytrichophora
147013,Hostis
147016,Clanoneurum
147018,Discomyza
147023,Athyroglossa
147036,Mosillus
147042,Placopsidella
147046,Platygymnopa
147048,Chlorichaeta
147051,Ceropsilopa
147060,Clasiopella
147062,Cressonomyia
147072,Helaeomyia
147075,Leptopsilopa
147086,Guttipsilopa
147091,Paratissa
147096,Psilopa
147107,Rhysophora
147109,Trimerina
147112,Trimerinoides
147117,Hydrellia
147184,Lemnaphila
147187,Ilythea
147192,Zeros
147202,Donaceus
147205,Notiphila
147271,Oedenops
147274,Paralimna
147283,Typopsilopa
147294,Gastrops
147298,Axysta
147303,Brachydeutera
147311,Hyadina
147323,Lytogaster
147339,Microlytogaster
147342,Pelina
147356,Pseudohyadina
147360,Ochthera
147378,Callinapaea
147383,Eutaenionotum
147388,Parydra
147439,Rhinonapaea
147443,Nostima
147456,Philygria
147467,Calocoenia
147472,Cirrula
147478,Coenia
147482,Dimecoenia
147486,Ephydra
147509,Paracoenia
147518,Setacera
147533,Lamproscatella
147549,Limnellia
147566,Philotelma
147568,Scatella
147597,Scatophila
147627,Apulvillus
147632,Neoscatella
150028,Muscina
150047,Synthesiomyia
150053,Azelia
150065,Drymeia
150113,Hydrotaea
150179,Potamia
150187,Thricops
150231,Eudasyphora
150234,Mesembrina
150239,Morellia
150249,Musca
150257,Neomyia
150267,Polietes
150274,Pyrellia
150276,Haematobia
150283,Haematobosca
150286,Stomoxys
150296,Atherigona
150301,Brontaea
150312,Helina
150469,Lophosceles
150480,Phaonia
150604,Plexiopsis
150607,Neomuscina
150620,Philornis
150626,Polietina
150633,Graphomya
150644,Hebecnema
150657,Mydaea
150717,Myospila
150723,Opsolasia
150730,Limnophora
150756,Lispe
150805,Lispoides
150808,Spilogona
151068,Tetramerinx
151078,Bithoracochaeta
151086,Caricea
151115,Coenosia
151237,Limnospila
151240,Macrorchis
151248,Neodexiopsis
151276,Pachyceramyia
151290,Pentacricia
151292,Pseudocoenosia
151303,Schoenomyza
153761,Pentarthrum
181177,Paltothemis
181186,Neoneura
181187,Hesperagrion
181193,Plea
181194,Curicta
181195,Velia
181197,Alisotrichia
181200,Pyrausta
181207,Anatopynia
185858,Prabhergia
185942,Aethiopella
185944,Setanodosa
185946,Stachia
186155,Blackburnia
186201,Drypta
186205,Endynomena
186207,Gnathaphanus
186209,Gnatholymnaeum
186218,Mecyclothorax
186362,Tefflus
186369,Typhlonesiotes
186382,Coelostoma
186384,Limnoxenus
186399,Aleochara
186401,Anotylus
186405,Atheta
186409,Clavilispinus
186411,Creophilus
186414,Cryptobium
186416,Ctenandropus
186417,Diestota
186447,Diochus
186448,Eudiestota
186450,Eusipalia
186452,Falagria
186454,Gabrius
186456,Holocorynus
186459,Homalota
186461,Lathrobium
186462,Leptacinus
186464,Leurocorynus
186466,Liophaena
186470,Lispinodes
186481,Lispinus
186483,Lithocharis
186486,Medon
186489,Myllaena
186501,Myrmecopora
186503,Nacaeus
186505,Nesomedon
186509,Oligota
186540,Ophiomedon
186543,Osorius
186545,Phacophallus
186547,Philothalpus
186549,Phlaeopora
186552,Platystethus
186554,Quedius
186557,Stiliderus
186558,Sunius
186560,Thoracophorus
186563,Thyreocephalus
186565,Xanthocorynus
186580,Scaphisoma
187739,Algarobius
187741,Callosobruchus
187746,Caryedon
187748,Lithraeus
187750,Megacerus
187752,Mimosestes
187758,Stator
187761,Zabrotes
187764,Brontispa
187766,Chaetocnema
187768,Chrysolina
187771,Diachus
187773,Epitrix
187776,Lema
187780,Megascelis
187782,Monoxia
187784,Octotoma
187786,Systena
187788,Uroplata
187807,Acalles
187830,Anaballus
187832,Anotheorus
187836,Anthonomus
187840,Athesapeuta
187842,Caulophilus
187844,Chaenosternum
187846,Cosmopolites
187850,Deinocossonus
187852,Derelomus
187853,Diocalandra
187857,Dolichotelus
187859,Dryophthorus
187877,Dryotribodes
187879,Dryotribus
187883,Dynatopechus
187888,Elytroteinus
187890,Euscepes
187895,Heteramphus
187908,Hypera
187910,Hypurus
187912,Listroderes
187914,Macrancylus
187916,Microlarinus
187919,Mitrastethus
187921,Myocalandra
187923,Nesotocus
187928,Nothoperissops
187930,Oodemas
187996,Orchidophilus
188001,Orothreptes
188003,Orthorhinus
188005,Otiorhynchus
188008,Oxydema
188016,Phloeophagosoma
188018,Pholidoforus
188020,Polytus
188022,Rhabdoscelus
188024,Rhinoncus
188026,Rhyncogonus
188063,Rhyncolus
188065,Sciopithes
188067,Scyphophorus
188070,Sibinia
188073,Sitona
188075,Sitophilus
188084,Sphenophorus
188089,Stenommatus
188091,Stenotrupis
188096,Sternochetus
188098,Syagrius
188100,Trachyphloeosoma
188121,Coccotrypes
188128,Cryphalus
188132,Euwallacea
188135,Ptilopodius
188137,Xyleborinus
188139,Xyleborus
193637,Gymnochthebius
193640,Neochthebius
193686,Agna
193736,Macrelmis
200893,Antonina
200897,Brevennia
200899,Chaetococcus
200901,Chlorococcus
200907,Chlorizococcus
200910,Clavicoccus
200913,Dysmicoccus
200917,Ferrisia
200920,Gallulacoccus
200922,Geococcus
200924,Laminicoccus
200926,Maconellicoccus
200928,Nesococcus
200930,Nesopedronia
200936,Nipaecoccus
200941,Ohiacoccus
200943,Palmicultor
200945,Phyllococcus
200948,Planococcus
200950,Pseudococcus
200966,Pseudotrionymus
200969,Rhizoecus
200973,Saccharicoccus
200975,Tomentocera
200977,Trionymus
200979,Tympanococcus
200994,Rhadine
202918,Allomelita
202919,Anamoera
202920,Anchialella
202921,Anelasmopus
202922,Animoceradocus
202923,Aurohornellia
202924,Bathyceradocus
202925,Beaudettia
206622,Procloeon
206639,Tyloderma
206646,Alotanypus
206647,Fittkauimyia
206655,Apedilum
206657,Beardius
542013,Baicalasellus
542036,Bragasellus
542074,Chthonasellus
542082,Conasellus
542148,Gallasellus
542220,Lirceolus
542288,Nipponasellus
542354,Phreatoasellus
542379,Proasellus
542398,Psammasellus
542434,Sibirasellus
542455,Synasellus
542478,Uenasellus
555637,Desserobdella
555639,Samea
567087,Pecosorbis
567142,Texapyrgus
568513,Denopelopia
568514,Thienemanniola
568546,Acerpenna
568547,Americabaetis
568548,Camelobaetidius
568549,Cloeodes
568550,Diphetor
568551,Fallceon
568552,Labiobaetis
568553,Plauditus
568554,Pseudocentroptiloides
568555,Amercaenis
568556,Cercobrachys
568559,Anthopotamus
568560,Barbaetis
568563,Moribaetis
568770,Holocentropus
568771,Chaetopteryx
568772,Notidobia
568773,Stenopsyche
568774,Silo
568775,Pycnocentria
568776,Plectrocnemia
568777,Eocosmoecus
568779,Ecnomus
568821,Cryophila
568825,Lioporeus
568826,Stictotarsus
568862,Poecilobdella
568863,Gloiobdella
568864,Haementeria
568877,Semiscolecides
568878,Motobdella
573085,Apterachalcus
573086,Scepastopyga
573087,Xanthina
573717,Cillenus
573811,Chaetogammarus
591729,Dicterias
591730,Heliocharis
591731,Chalcopteryx
591732,Chalcothore
591733,Cora
591734,Euthore
591735,Kalocora
591736,Miocora
591737,Polythore
591738,Stenocora
591739,Amphipteryx
591740,Rimanella
591741,Iridictyon
591742,Mnesarete
591743,Perilestes
591744,Perissolestes
591745,Phylolestes
591747,Allopodagrion
591748,Archaeopodagrion
591749,Dimeragrion
591750,Heteragrion
591751,Heteropodagrion
591752,Hypolestes
591753,Megapodagrion
591754,Mesagrion
591755,Neuragrion
591756,Oxystigma
591757,Paraphlebia
591758,Philogenia
591759,Sciotropis
591760,Thaumatoneura
591761,Anomisma
591762,Mecistogaster
591763,Megaloprepus
591764,Microstigma
591765,Pseudostigma
591766,Palaemnema
591767,Epipleoneura
591768,Epipotoneura
591769,Forcepsioneura
591770,Idioneura
591771,Junix
591772,Microneura
591773,Peristicta
591774,Phasmoneura
591775,Proneura
591776,Protoneura
591777,Psaironeura
591778,Roppaneura
591779,Acanthagrion
591780,Acanthallagma
591781,Aeolagrion
591782,Andinagrion
591783,Anisagrion
591784,Antiagrion
591785,Apanisagrion
591786,Calvertagrion
591787,Chrysobasis
591788,Cyanallagma
591789,Diceratobasis
591790,Enacantha
591791,Helveciagrion
591792,Homeoura
591793,Hylaeonympha
591794,Inpabasis
591795,Leptagrion
591796,Leptobasis
591797,Leucobasis
591798,Mesamphiagrion
591799,Mesoleptobasis
591800,Metaleptobasis
591801,Minagrion
591802,Neoerythromma
591803,Oxyagrion
591804,Oxyallagma
591805,Protallagma
591806,Skiallagma
591807,Telagrion
591808,Tigriagrion
591812,Allopetalia
591813,Andaeschna
591814,Castoraeschna
591815,Limnetron
591816,Neuraeschna
591817,Racenaeschna
591818,Remartinia
591819,Staurophlebia
591821,Agriogomphus
591822,Anomalophlebia
591823,Archaeogomphus
591824,Brasiliogomphus
591825,Cacoides
591826,Cyanogomphus
591827,Desmogomphus
591828,Diaphlebia
591829,Epigomphus
591830,Idiogomphoides
591831,Melanocacus
591832,Mitragomphus
591833,Neogomphus
591834,Perigomphus
591835,Peruviogomphus
591836,Phyllocycla
591837,Phyllogomphoides
591838,Praeviogomphus
591839,Tibiagomphus
591840,Zonophora
591842,Aeschnosoma
591843,Gomphomacromia
591844,Lauromacromia
591845,Navicordulia
591846,Neocordulia
591847,Paracordulia
591848,Rialla
591849,Santosia
591850,Anatya
591851,Antidythemis
591852,Argyrothemis
591853,Dasythemis
591854,Diastatops
591855,Edonis
591856,Elasmothemis
591857,Elga
591858,Fylgia
591859,Gynothemis
591860,Misagria
591861,Nephepeltia
591862,Nothodiplax
591863,Oligoclada
591864,Planiplax
591865,Rhodopygia
591866,Uracis
591867,Ypirangathemis
591868,Zenithoptera
598252,Dipseudopsis
598253,Limnoecetis
598254,Protodipseudopsis
598255,Hyalopsyche
598256,Hyalopsychella
598257,Ecnomina
598258,Parecnomina
598259,Psychomyiellodes
598260,Maesaipsyche
598261,Diplectronella
598262,Diplex
598263,Sciadorus
598264,Abacaria
598265,Aoteapsyche
598266,Austropsyche
598267,Caledopsyche
598268,Calosopsyche
598269,Herbertorossia
598270,Hydatomanicus
598271,Hydatopsyche
598272,Hydromanicus
598273,Hydronema
598274,Mexipsyche
598275,Orthopsyche
598276,Plectropsyche
598277,Sciops
598278,Streptopsyche
598279,Amphipsyche
598280,Baliomorpha
598281,Blepharopus
598282,Centromacronema
598283,Leptopsyche
598284,Oestropsyche
598285,Plectromacronema
598286,Protomacronema
598287,Pseudoleptonema
598288,Pseudomacronema
598289,Trichomacronema
598290,Aethaloptera
598292,Polymorphanisus
598293,Synoestropsis
598294,Asmicridea
598295,Smicrophylax
598296,Kambaitipsyche
598297,Adectophylax
598298,Antillopsyche
598299,Chilocentropus
598300,Cyrnodes
598301,Cyrnopsis
598302,Cyrnus
598303,Eodipseudopsis
598304,Eoneureclipsis
598305,Neucentropus
598306,Neurocentropus
598307,Pahamunaya
598308,Plectrocnemiella
598309,Tasmanoplegas
598310,Pseudoneureclipsis
598311,Padangpsyche
598312,Psychomyiella
598313,Zelandoptila
598314,Eutonella
598315,Proxiphocentron
598316,Abaria
598317,Cnodocentron
598318,Drepanocentron
598319,Machairocentron
598320,Melanotrichia
598321,Paulianodes
598322,Cabreraia
598323,Cryptobiosella
598324,Doloclanes
598325,Dolomyia
598326,Dolopsyche
598327,Edidiehlia
598328,Gunungiella
598329,Hydrobiosella
598330,Kisaura
598331,Neobiosella
598332,Philopotamus
598333,Xenobiosella
598334,Chimarrhodella
598335,Pseudostenopsyche
598336,Stenopsychodes
598337,Atriplectides
598338,Hughscottiella
598339,Leptodermatopteryx
598340,Neoatriplectides
598341,Ascalaphomerus
598342,Banyallarga
598343,Calamoceras
598344,Georgium
598346,Silvatares
598347,Indomolannodes
598348,Kokiria
598349,Mecynostomella
598350,Pangullia
598352,Tanjistomella
598353,Taskiria
598354,Taskiropsyche
598355,Achoropsyche
598356,Axiocerina
598357,Homilia
598358,Leptecho
598359,Leptoceriella
598360,Leptocerina
598361,Neoathripsodes
598362,Leptorussa
598363,Tagalopsyche
598364,Parasetodes
598365,Ptochoecetis
598366,Hemileptocerus
598367,Sericodes
598368,Trichosetodes
598369,Adicella
598371,Erotesis
598372,Ylodes
598373,Amphoropsyche
598374,Brachysetodes
598375,Poecilopsyche
598376,Russobex
598377,Atanatolica
598378,Grumichella
598379,Triplexa
598380,Condocerus
598381,Hudsonema
598382,Notalina
598383,Notoperata
598384,Lectrides
598385,Symphitoneuria
598386,Symphitoneurina
598387,Triplectides
598388,Triplectidina
598389,Triplexina
598390,Westriplectes
598391,Nietnerella
598392,Limnocentropus
598393,Barynema
598394,Barypenthus
598395,Inthanopsyche
598396,Lannapsyche
598397,Odontocerum
598398,Perissoneura
598399,Aphilorheithrus
598400,Austrheithrus
598401,Kosrheithrus
598402,Mystacopsyche
598403,Philorheithrus
598404,Psilopsyche
598405,Ramiheithrus
598406,Tasmanthrus
598407,Anomalopsyche
598408,Contulma
598409,Antipodoecia
598410,Barbarochthon
598411,Beraeamyia
598412,Beraeodes
598413,Beraeodina
598414,Ernodes
598415,Nippoberaea
598416,Notoernodes
598417,Alloecentrella
598418,Caenota
598419,Caloca
598420,Calocoides
598421,Pliocaloca
598422,Pycnocentrella
598423,Tamasia
598424,Chathamia
598425,Philanisus
598426,Beraeoptera
598427,Coenoria
598428,Confluens
598429,Conoesucus
598430,Costora
598431,Hampa
598432,Lingora
598433,Matasia
598434,Olinga
598435,Periwinkla
598436,Pycnocentrodes
598437,Alloecella
598438,Alloecentrellodes
598439,Austrocentrus
598440,Eosericostoma
598441,Helicopha
598442,Microthremma
598443,Pseudosericostoma
598444,Zelolessica
598445,Rakiura
598446,Hydrosalpinx
598447,Petrothrincus
598448,Aclosma
598449,Asahaya
598450,Aselas
598451,Cerasma
598452,Cheimacheramus
598453,Grumicha
598454,Myotrichia
598455,Notidobiella
598456,Oecismus
598457,Parasericostoma
598458,Petroplax
598459,Rhoizema
598460,Schizopelex
598461,Sericostoma
598462,Ceylanopsyche
598463,Karomana
598464,Mpuga
598465,Ngoya
598466,Seselpsyche
598467,Charadropsyche
598468,Tasiagma
598469,Tasimia
598470,Trichovespula
598471,Apataniana
598472,Apatidelia
598473,Baicalina
598474,Protobaicalina
598475,Baicalinella
598476,Baicaloides
598477,Pseudoradema
598478,Radema
598479,Thamastes
598480,Proradema
598481,Talgara
598482,Moropsyche
598483,Notania
598484,Dolichocentrus
598485,Hummeliella
598486,Archithremma
598487,Ashmira
598488,Gastrocentrella
598489,Gastrocentrides
598490,Lithax
598491,Silonella
598492,Larcasia
598493,Adinarthrella
598494,Adinarthrum
598495,Agoerodella
598496,Agoerodes
598497,Anacrunoecia
598498,Dinarthrella
598499,Dinarthrena
598500,Dinarthrodes
598501,Dinarthropsis
598502,Dinarthrum
598503,Dinomyia
598504,Eodinarthrum
598505,Goerodella
598506,Goerodes
598507,Goerodina
598508,Indocrunoecia
598509,Kodala
598510,Lasiocephala
598511,Maniconeura
598512,Mellomyia
598513,Neolepidostoma
598514,Neoseverinia
598515,Paradinarthrodes
598516,Paraphlegopteryx
598517,Ulmerodes
598518,Crunoecia
598519,Martynomyia
598520,Zephyropsyche
598521,Anomalocosmoecus
598522,Antarctoecia
598523,Archaeophylax
598524,Austrocosmoecus
598525,Evanophanes
598527,Metacosmoecus
598528,Monocosmoecus
598530,Nothopsyche
598531,Platycosmoecus
598532,Anomalopterygella
598533,Cryptothrix
598534,Drusus
598535,Ecclisopteryx
598536,Leptodrusus
598537,Metanoea
598538,Monocentra
598539,Annitella
598540,Badukiella
598541,Chaetopterna
598542,Chaetopteroides
598543,Chaetopterygopsis
598544,Kelgena
598545,Pseudopsilopteryx
598546,Psilopteryx
598547,Rizeiella
598548,Vareshiana
598549,Brachypsyche
598550,Chiloecia
598551,Pielus
598552,Rhadicoleptus
598553,Acrophylax
598554,Allogamus
598555,Anisogamodes
598556,Anisogamus
598557,Chionophylax
598558,Consorophylax
598559,Enoicyla
598560,Enoicylopsis
598561,Halesus
598562,Isogamus
598563,Leptotaulius
598564,Melampophylax
598565,Mesophylax
598566,Parachiona
598567,Potamophylax
598568,Psilopterna
598569,Stenophylax
598570,Lepnevaina
598571,Thermophylax
598572,Aplatyphylax
598573,Astenophylina
598574,Astratodina
598575,Phylostenax
598576,Sphagnophylax
598577,Oeconesus
598578,Pseudoeconesus
598579,Tarapsyche
598580,Tascuna
598581,Zelandopsyche
598582,Zepsyche
598583,Dyschimus
598584,Pisulia
598585,Liapota
598586,Nanoplectrus
598587,Plectrotarsus
598588,Thremma
598589,Sericostriata
598590,Uenoa
598591,Beothukus
598592,Eubasilissa
598593,Neurocyta
598594,Semblis
598595,Trichostegia
598596,Phryganopsyche
598598,Campsiophora
598599,Canoptila
598600,Cariboptila
598601,Cubanoptila
598602,Itauara
598603,Mastigoptila
598604,Merionoptila
598605,Mexitrichia
598606,Mortoniella
598607,Nepaloptila
598608,Padunia
598609,Poeciloptila
598610,Scotiotrichia
598611,Temburongpsyche
598612,Tolhuaca
598613,Acanthotrichia
598614,Acritoptila
598615,Austratrichia
598616,Cyclopsiella
598617,Dhatrichia
598618,Hellyethira
598619,Hydroptilina
598620,Microptila
598621,Missitrichia
598622,Mulgravia
598623,Paroxyethira
598624,Paucicalcaria
598625,Tangatrichia
598626,Tricholeiochiton
598627,Ugandatrichia
598628,Vietrichia
598629,Wlitrichia
598630,Xuthotrichia
598631,Abtrichia
598632,Acostatrichia
598633,Anchitrichia
598634,Ascotrichia
598635,Betrichia
598636,Cerasmatrichia
598637,Ceratotrichia
598638,Costatrichia
598639,Mejicanotrichia
598640,Peltopsyche
598641,Scelobotrichia
598642,Kumanskiella
598643,Taraxitrichia
598644,Metrichia
598645,Rhyacopsyche
598646,Bredinia
598647,Byrsopteryx
598648,Catoxyethira
598649,Celaenotrichia
598650,Chrysotrichia
598651,Flintiella
598652,Niuginitrichia
598653,Parastactobia
598654,Plethus
598655,Scelotrichia
598656,Stactobia
598657,Caledonotrichia
598658,Dicaminus
598659,Jabitrichia
598660,Macrostactobia
598661,Maydenoptila
598663,Orphninotrichia
598664,Ptilocolepus
598665,Allochorema
598666,Apsilochorema
598668,Isochorema
598669,Neopsilochorema
598670,Amphichorema
598671,Androchorema
598672,Atrachorema
598673,Australobiosis
598674,Austrochorema
598675,Cailloma
598676,Clavichorema
598677,Costachorema
598678,Edpercivalia
598679,Ethochorema
598680,Heterochorema
598681,Hydrobiosis
598682,Hydrochorema
598683,Iguazu
598684,Ipsebiosis
598685,Koetonga
598686,Megogata
598687,Metachorema
598688,Microchorema
598689,Neoatopsyche
598690,Neochorema
598691,Neurochorema
598692,Parachorema
598693,Poecilochorema
598694,Pomphochorema
598695,Pseudoradema
598696,Psilochorema
598697,Ptychobiosis
598698,Rheochorema
598699,Schajovskoya
598700,Stenochorema
598701,Synchorema
598702,Tanjilana
598703,Tanorus
598704,Taschorema
598705,Traillochorema
598706,Ulmerochorema
598707,Xanthochorema
598708,Allobiosis
598709,Moruya
598710,Psyllobetina
598711,Tiphobiosis
598712,Fansipangana
598713,Philocrena
598714,Agrypnetes
598715,Apatanodes
598716,Blyzophilus
598717,Gyrocarisa
598718,Metalype
598719,Nothotrichia
598720,Verger
609516,Varipes
609520,Guajirolus
609521,Mayobaetis
609992,Lyurella
609993,Palaeogammarus
609994,Stygonyx
616737,Mesocordylus
616738,Cactophagus
616739,Metamasius
616740,Rhodobaenus
616741,Neophycocoetes
616742,Curculio
616743,Campylirhynchus
616744,Acallodes
616745,Acalyptus
616746,Acamptus
616747,Acanthoscelidius
616748,Acentrinops
616749,Achrastenus
616750,Acmaegenius
616751,Acoptus
616753,Adaleres
616754,Agasphaerops
616755,Agraphus
616756,Agronus
616758,Amalus
616759,Amercedes
616760,Amotus
616761,Ampeloglypter
616762,Anacentrinus
616763,Anametis
616764,Anchitelus
616765,Anchonus
616766,Anthonomopsis
616767,Aphrastus
616768,Apleurus
616769,Apotrepus
616770,Apteromechus
616771,Aracanthus
616772,Aragnomus
616773,Archarias
616774,Artipus
616775,Atrichonotus
616776,Aulobaris
616777,Barilepis
616778,Barilepton
616779,Barinus
616780,Baris
616781,Barynotus
616782,Barypeithes
616783,Brachyogmus
616784,Brachysomus
616785,Brachystylus
616786,Bradyrhynchoides
616787,Buchananius
616788,Caecossonus
616789,Calandrinus
616790,Calles
616791,Callirhopalus
616792,Calomycterus
616793,Calyptillus
616794,Canistes
616795,Carphonotus
616796,Catapastus
616797,Centrinaspis
616798,Centrinites
616799,Centrinogyna
616800,Centrinopus
616801,Centrinus
616802,Cercopedius
616803,Cercopeus
616805,Ceutorhynchus
616806,Chaetechidius
616807,Chalcodermus
616808,Chaleponotus
616809,Chelonychus
616810,Cholinobaris
616811,Cimbocera
616812,Cionomimus
616813,Cionopsis
616814,Cionus
616815,Cleonidius
616816,Cnemogonus
616817,Coccotorus
616818,Colecerus
616819,Compsus
616820,Conotrachelus
616821,Cophes
616822,Copturus
616823,Cosmobaris
616824,Cossonus
616825,Craponius
616826,Crocidema
616827,Cryptolepidus
616828,Cryptorhynchus
616829,Cylindridia
616830,Cylindrocopturinus
616831,Cylindrocopturus
616832,Cyrtepistomus
616834,Desmoglyptus
616835,Diamimus
616836,Diaprepes
616837,Dichoxenus
616838,Dietzella
616839,Dietzianus
616840,Diorymeropsis
616841,Dirabius
616842,Dirotognathus
616843,Dorytomus
616844,Dysticheus
616845,Eisonyx
616846,Elassoptes
616847,Ellescus
616848,Epacalles
616849,Ephelops
616850,Epicaerus
616851,Epimechus
616852,Episcirrus
616853,Ericydeus
616854,Eubrychius
616855,Eubulus
616856,Eucilinus
616857,Eucoptus
616858,Eucyllus
616859,Eudiagogus
616860,Eudociminus
616861,Euhrychiopsis
616862,Eulechriops
616863,Eurhoptus
616864,Evotus
616865,Faustinus
616866,Gastrotaphrus
616867,Geoderces
616868,Geodercodes
616869,Geraeus
616870,Gerstaeckeria
616872,Glaphyrometopus
616873,Glyptobaris
616874,Gononotus
616875,Graphognathus
616876,Graphorhinus
616878,Gymnetron
616879,Hadromeropsis
616880,Haplostethops
616881,Heilipus
616882,Hesperobaris
616883,Hexarthrum
616884,Hilipinus
616885,Himatium
616886,Hohonus
616887,Homorosoma
616888,Hormops
616889,Hormorus
616890,Huaca
616891,Hylobius
616892,Hypocoeliodes
616893,Hypoleschus
616894,Idiostethus
616895,Isodacrys
616896,Laemosaccus
616897,Larinus
616898,Lechriops
616899,Lembodes
616900,Lepesoma
616901,Lepidophorus
616902,Leptopinara
616903,Lepyrus
616904,Lignyodes
616905,Liometophilus
616906,Liophloeus
616907,Lupinocolus
616908,Lymantes
616909,Macrorhoptus
616910,Madarellus
616911,Maemactes
616912,Magdalinops
616913,Magdalis
616914,Mecinus
616915,Melanolemma
616916,Menoetius
616917,Mesagroicus
616918,Mesites
616919,Metopotoma
616920,Miarus
616921,Micralcinus
616922,Microbaris
616923,Microcholus
616924,Microhyus
616925,Micromastus
616926,Micromimus
616927,Micromyrmex
616928,Miloderes
616929,Miloderoides
616930,Minyomerus
616931,Mitostylus
616932,Mononychus
616933,Myllocerus
616934,Myrmex
616935,Nanops
616936,Nanus
616937,Narberdia
616938,Nedyus
616940,Neoerethistes
616941,Neomastix
616942,Neophytobius
616943,Neoptochus
616944,Neoulosomus
616945,Nicentrus
616947,Notolomus
616948,Nyssonotus
616949,Ochyromera
616950,Odontocorynus
616951,Odontopus
616952,Oligolochus
616953,Omias
616954,Omileus
616955,Onychobaris
616956,Oomorphidius
616957,Oopterinus
616958,Ophryastes
616959,Orimodema
616960,Orthognathus
616961,Orthoptochus
616962,Orthoris
616963,Pachnaeus
616964,Pachybaris
616965,Pachygeraeus
616966,Pachylobius
616967,Pachyrhinus
616968,Pachytychius
616969,Pactorrhinus
616970,Pandeleteinus
616971,Pandeleteius
616972,Panscopus
616973,Pantomorus
616974,Paracamptus
616975,Paracimbocera
616976,Paragraphus
616977,Paranametis
616978,Paraptochus
616979,Pelenosomus
616980,Peltophorus
616981,Pentarthrinus
616982,Peracalles
616983,Perigaster
616984,Peritaxia
616985,Peritelinus
616986,Peritelodes
616987,Peritelopsis
616988,Pheloconus
616989,Philopedon
616990,Phloeophagus
616991,Phrydiuchus
616992,Phyllobius
616993,Phyllotrox
616994,Phyrdenus
616995,Phyxelis
616996,Piazorhinus
616997,Piscatopus
616998,Pissodes
616999,Plesiobaris
617000,Plinthodes
617001,Plocamus
617002,Plocetes
617003,Polydacrys
617004,Polydrusus
617005,Poophagus
617007,Proctorus
617008,Promecotarsus
617009,Pselactus
617010,Pseudanthonomus
617011,Pseudoacalles
617012,Pseudobaris
617013,Pseudocentrinus
617014,Pseudocercopeus
617015,Pseudocyphus
617016,Pseudomopsis
617017,Pseudomus
617018,Pseudopentarthrum
617019,Pseudorimus
617020,Psomus
617021,Pycnobaris
617022,Pycnogeraeus
617023,Rhamphocolus
617024,Rhigopsis
617025,Rhinanisus
617026,Rhinocyllus
617027,Rhoptobaris
617028,Rhynchus
617029,Rhypodillus
617030,Rhyssomatus
617031,Rileyonymus
617032,Rutidosoma
617033,Rynchaenus
617034,Sapotes
617036,Sciaphilus
617037,Sibariops
617038,Sicoderus
617039,Sirocalodes
617040,Smicraulax
617041,Smicronyx
617042,Stamoderes
617043,Stenancylus
617044,Stenobaris
617045,Stenomimus
617046,Stenoptochus
617047,Stenoscelis
617048,Stephanocleonus
617049,Stereogaster
617050,Sternechus
617051,Stethobaris
617052,Sthereus
617053,Stictobaris
617054,Stomodes
617055,Strongylotes
617056,Strophosoma
617057,Sudus
617058,Tachygonus
617059,Tanymecus
617060,Thecesternus
617061,Thinoxenus
617062,Thricolepis
617064,Thylacites
617065,Tomolips
617066,Trachodes
617067,Trachyphloeus
617068,Tranes
617069,Trepobaris
617070,Trichacorynus
617071,Trichalophus
617072,Trichobaris
617073,Trichodirabius
617074,Trichomagdalis
617075,Trichosirocalus
617076,Triglyphulus
617077,Trigonoscuta
