TSN,genus
125873,Meringodixa
125888,Eucorethra
125893,Mochlonyx
125904,Chaoborus
125932,Toxorhynchites
125956,Anopheles
126089,Wyeomyia
126197,Limatus
126234,Aedes
126424,Coquillettidia
126429,Culiseta
126455,Culex
126518,Deinocerites
126523,Haemagogus
126527,Mansonia
126532,Orthopodomyia
126538,Psorophora
126575,Uranotaenia
126584,Trichoprosopon
126622,Johnbelkinia
127079,Leptoconops
127113,Atrichopogon
127152,Forcipomyia
127278,Dasyhelea
127340,Culicoides
127524,Paradasyhelea
127527,Allohelea
127533,Alluaudomyia
127548,Brachypogon
127558,Ceratoculicoides
127564,Ceratopogon
127571,Downeshelea
127573,Echinohelea
127575,Monohelea
127591,Parabezzia
127608,Rhynchohelea
127610,Schizohelea
127614,Serromyia
127619,Stilobezzia
127649,Clinohelea
127666,Heteromyia
127671,Neurobezzia
127674,Neurohelea
127680,Pellucidomyia
127684,Jenkinshelea
127693,Johannsenomyia
127699,Macropeza
127702,Mallochohelea
127720,Nilobezzia
127729,Probezzia
127761,Sphaeromias
127770,Paryphoconus
127772,Stenoxenus
127775,Amerohelea
127778,Bezzia
127855,Pachyhelea
127859,Palpomyia
127912,Phaenobezzia
127920,Telmatogeton
127942,Thalassomya
127954,Boreochlus
127962,Lasiodiamesa
127977,Paraboreochlus
127979,Trichotanypus
127987,Parochlus
127996,Clinotanypus
128010,Coelotanypus
128021,Apsectrotanypus
128026,Brundiniella
128034,Macropelopia
128048,Psectrotanypus
128067,Parapelopia
128070,Natarsia
128079,Ablabesmyia
128124,Arctopelopia
128126,Cantopelopia
128130,Conchapelopia
128161,Guttipelopia
128167,Hudsonimyia
128170,Krenopelopia
128173,Labrundinia
128183,Larsia
128199,Monopelopia
128202,Nilotanypus
128207,Paramerina
128215,Pentaneura
128226,Rheopelopia
128233,Telopelopia
128236,Thienemannimyia
128251,Trissopelopia
128257,Xenopelopia
128259,Zavrelimyia
128271,Djalmabatista
128277,Procladius
128324,Tanypus
128343,Boreoheptagyia
128352,Arctodiamesa
128355,Diamesa
128401,Pagastia
128408,Potthastia
128416,Pseudodiamesa
128423,Pseudokiefferiella
128426,Sympotthastia
128429,Syndiamesa
128431,Protanypus
128438,Compteromesa
128440,Monodiamesa
128446,Odontomesa
128452,Prodiamesa
128458,Abiskomyia
128460,Acamptocladius
128463,Acricotopus
128470,Antillocladius
128473,Apometriocnemus
128475,Baeoctenus
128477,Brillia
128488,Bryophaenocladius
128507,Camptocladius
128511,Cardiocladius
128520,Chaetocladius
128533,Chasmatonotus
128542,Clunio
128559,Compterosmittia
128563,Corynoneura
128575,Cricotopus
128670,Diplocladius
128673,Diplosmittia
128674,Doithrix
128680,Doncricotopus
128682,Epoicocladius
128686,Eretmoptera
128689,Eukiefferiella
128707,Euryhapsis
128712,Georthocladius
128718,Gymnometriocnemus
128725,Halocladius
128730,Heleniella
128734,Heterotanytarsus
128737,Heterotrissocladius
128750,Hydrobaenus
128771,Krenosmittia
128776,Limnophyes
128809,Lipurometriocnemus
128811,Lopescladius
128815,Mesocricotopus
128818,Mesosmittia
128821,Metriocnemus
128844,Nanocladius
128867,Oliveridia
128872,Oreadomyia
128874,Orthocladius
128951,Parachaetocladius
128956,Paracladius
128962,Paracricotopus
128968,Parakiefferiella
128976,Paralimnophyes
128978,Parametriocnemus
128989,Paraphaenocladius
129003,Parasmittia
129005,Paratrichocladius
129010,Paratrissocladius
129011,Parorthocladius
129013,Platysmittia
129016,Plhudsonia
129018,Psectrocladius
129052,Pseudorthocladius
129071,Pseudosmittia
129083,Psilometriocnemus
129086,Rheocricotopus
129107,Rheosmittia
129108,Saetheriella
129110,Smittia
129152,Stilocladius
129154,Sublettiella
129156,Symbiocladius
129161,Synorthocladius
129164,Tethymyia
129166,Thalassosmittia
129179,Thienemannia
129182,Thienemanniella
129194,Tokunagaia
129197,Tvetenia
129206,Unniella
129208,Xylotopus
129213,Zalutschia
129230,Acalcarella
129231,Asheum
129236,Axarus
129246,Beckidia
129249,Chernovskiia
129254,Chironomus
129350,Cladopelma
129368,Cryptochironomus
129394,Cryptotendipes
129405,Cyphomella
129412,Demeijerea
129421,Demicryptochironomus
129428,Dicrotendipes
129459,Einfeldia
129470,Endochironomus
129480,Gillotia
129483,Glyptotendipes
129506,Goeldichironomus
129515,Graceus
129516,Harnischia
